"id","availability","condition","description","image_link","link","title","price","brand"
"5ty9ei9qi","in stock","new","they say dolphins are the second smartest animals. leaping, diving, playing all day: maybe they know something we have forgotten, or have yet to figure out","http://www.glassybaby.com/site/images/product-images/dolphin-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/dolphin","dolphin | glassybaby","50 USD","glassybaby"
"pz6hohjvj","in stock","new","10% of the sale of each glassybaby will be donated to the glassybaby white light fund to help people, animals, and planet heal","http://www.glassybaby.com/site/images/product-images/dubs-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/dubs","dubs | glassybaby","75 USD","glassybaby"
"geq74tqhz","in stock","new","you can’t remember a name the first time you hear it. but about the shape of a smile, or the smell of a shampoo, you have the memory of an elephant","http://www.glassybaby.com/site/images/product-images/elephant-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/elephant","elephant | glassybaby","50 USD","glassybaby"
"o5yx70yqb","in stock","new","many understand the benefits of a vegetarian diet, but it takes a delicious eggplant parmesan to put chicken behind them","http://www.glassybaby.com/site/images/product-images/eggplant-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/eggplant","eggplant | glassybaby","50 USD","glassybaby"
"rledp5tta","in stock","new","only in a song without words, a face with no makeup, a glass with no color, only there can we see the pure shape, flawless, and the flame of life within","http://www.glassybaby.com/site/images/product-images/flawless-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/flawless","flawless | glassybaby","50 USD","glassybaby"
"h0s3xys8k","in stock","new","can't catch thegingerbread man, butyou can build him a tinyhouse every christmas, with a gumdrop chimney thatgets a bit shorter, each timeyou walk by","http://www.glassybaby.com/site/images/product-images/gingerbread-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/gingerbread","gingerbread | glassybaby","50 USD","glassybaby"
"q16v72o3e","in stock","new","light green jadeite is the world’s most valuable gem. with its polished sparkle, it seems to shine with its own light, not just what is cast upon it","http://www.glassybaby.com/site/images/product-images/gem-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/gem","gem | glassybaby","50 USD","glassybaby"
"53cbwrm06","in stock","new","one silver and the other gold, but both are equally valuable. we treasure new and old friendship. it can remind us of the times and show us a new perspective.","http://www.glassybaby.com/site/images/product-images/friendship-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/friendship","friendship | glassybaby","50 USD","glassybaby"
"fcyt2771k","in stock","new","crouching in the mud - be silent when frog hunting. silence. ""ribbit."" you look toward the sound. vacated lily pad wobbles in a tiny ripple","http://www.glassybaby.com/site/images/product-images/frog-hunting-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/frog-hunting","frog hunting | glassybaby","50 USD","glassybaby"
"j8j2t9rkr","in stock","new","when it comes to love and support, too much isn't enough. you get parents and aunts and uncles, and for good measure, we'll throw in a godmother, too","http://www.glassybaby.com/site/images/product-images/godmother-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/godmother","godmother | glassybaby","50 USD","glassybaby"
"xz0unxuxw","in stock","new","what she wants? she wants you to know before she does. she's a diva, she has everything and yes she will have it now, yes she smiles, please thank you","http://www.glassybaby.com/site/images/product-images/diva-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/diva","diva | glassybaby","75 USD","glassybaby"
"7glw28eij","in stock","new","tall person wraps over shorter shoulders, short one throws arms up around taller neck, or both right arms can go over the lefts. we love all types of hugs","http://www.glassybaby.com/site/images/product-images/hugs-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/hugs","hugs | glassybaby","50 USD","glassybaby"
"2f5n22bf0","in stock","new","it’s hard, maybe impossible, to imagine any limits to the human imagination","http://www.glassybaby.com/site/images/product-images/imagine-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/imagine","imagine | glassybaby","50 USD","glassybaby"
"jdul5dbhz","in stock","new","sometimes you have to believe in something in order for it to come true. leadership, friendship, and love all depend, in some way, on the power of faith","http://www.glassybaby.com/site/images/product-images/faith-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/faith","faith | glassybaby","50 USD","glassybaby"
"ayix5m3x9","in stock","new","leaves flare and fall, snow melts away, candles burn low. each moment, each thing grows old and becomes anew, except one: unconditional love everlasting","http://www.glassybaby.com/site/images/product-images/everlasting-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/everlasting","everlasting | glassybaby","50 USD","glassybaby"
"r02dmorob","in stock","new","in seattle august, the gray stops and the greenshrines in the welcome sun. the emerald city seems too gorgeous to be real. we make sure not to click our heels together, just in case","http://www.glassybaby.com/site/images/product-images/emerald-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/emerald","emerald | glassybaby","50 USD","glassybaby"
"nr22u8dw0","in stock","new","""what lies behind you and what lies in front of you, pales in comparison to what lies inside of you."" - ralph waldo emerson","http://www.glassybaby.com/site/images/product-images/emerson-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/emerson","emerson | glassybaby","75 USD","glassybaby"
"hbnepgv23","in stock","new","your tiny hands grip the collar, as you dogride around the yard, until -squirrel!- he bolts. up, slowly you float, and then wake from the innocent dream","http://www.glassybaby.com/site/images/product-images/dream-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/dream","dream | glassybaby","50 USD","glassybaby"
"y198axmih","in stock","new","drive through the country in summer. farm stand, fresh blueberries. breathe the clean air, and look out over the fertile valley, where everything grows","http://www.glassybaby.com/site/images/product-images/fertile-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/fertile","fertile | glassybaby","50 USD","glassybaby"
"sksrfvmst","in stock","new","“she’s got a ‘tude,” her teachers used to say. luckily attitude can grow into fortitude, if you let it","http://www.glassybaby.com/site/images/product-images/fortitude-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/fortitude","fortitude | glassybaby","50 USD","glassybaby"
"6f0x74hx2","in stock","new","snowy southern cap, cloud curls diffuse, oceans blue beside africa. the blue marble planet is upside down, yet alive in silent black, unmistakably home","http://www.glassybaby.com/site/images/product-images/home-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/home","home | glassybaby","75 USD","glassybaby"
"semafds1n","in stock","new","dude, we are all one, together in this infinite universe. just think about all those galaxies out there, shining on our behalf. its pretty far out, right? p.p1 {margin: 0.0px 0.0px 0.0px 0.0px; font: 15.0px Helvetica; -webkit-text-stroke: #000000} span.s1 {font-kerning: none} span.s2 {text-decoration: underline ; font-kerning: none; background-color: #fffecc}","http://www.glassybaby.com/site/images/product-images/far-out-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/far-out","far out | glassybaby","75 USD","glassybaby"
